product_id,product_name,price,vendor,product_type,tags,availability,number_of_variants,image_url,product_url
1071926685,Dép Biti's Nữ Màu Nâu BTW002388NAU,465000,Biti's,Sandal Thời Trang,"kho:online,NỮ,khongdoitra,Sandalnu,Giày dép nữ",Available,5,https://cdn.hstatic.net/products/1000230642/btw002388nau__4__33f0e1a1ec5644aaa5662c92756abf26.jpg,https://bitis.com.vn/products/dep-biti-s-nu-mau-nau-btw002388nau
1071926541,Dép Biti's Nữ Màu Kem Lợt BTW002388KEL,465000,Biti's,Sandal Thời Trang,"kho:online,NỮ,khongdoitra,Sandalnu,Giày dép nữ",Available,5,https://cdn.hstatic.net/products/1000230642/btw002388kel__4__16607f96e90f484bbd2ab816bff208f3.jpg,https://bitis.com.vn/products/dep-biti-s-nu-mau-kem-lot-btw002388kel
1071926523,Dép Biti's Nữ Màu Đen BTW002388DEN,465000,Biti's,Sandal Thời Trang,"kho:online,NỮ,khongdoitra,Sandalnu,Giày dép nữ",Available,5,https://cdn.hstatic.net/products/1000230642/btw002388den__5__511cba9846e24d77808e9ccfa77a9fd6.jpg,https://bitis.com.vn/products/dep-biti-s-nu-mau-den-btw002388den
1071926426,Giày Thể Thao Biti's Nữ Màu Xám BSW005300XAM,620000,Êmbrace,Giày Thể Thao,"kho:online,NỮ,Giày nữ,Giày,Giày dép nữ",Available,6,https://cdn.hstatic.net/products/1000230642/bsw005300xam__7__5796a92aee5041ae802b5aa1cc3095fb.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-nu-mau-xam-bsw005300xam
1071926421,Giày Thể Thao Biti's Nữ Màu Hồng BSW005300HOG,620000,Êmbrace,Giày Thể Thao,"kho:online,NỮ,Giày nữ,Giày,Giày dép nữ",Available,6,https://cdn.hstatic.net/products/1000230642/bsw005300hog__7__5f9f6294a5004d1894342b2a12c3294c.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-nu-mau-hong-bsw005300hog
1071926387,Giày Thể Thao Biti's Bé Gái Màu Tím BSG007100TIM,450000,Biti's,Giày Thể Thao,"kho:online,TRẺ EM,Giày dép,Giày trẻ em,Giày,BÉ GÁI,Giày dép trẻ em",Available,6,https://cdn.hstatic.net/products/1000230642/bsg007100tim__3__a176b828a3104ad38168f2aca9f5c6a4.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-be-gai-mau-tim-bsg007100tim
1071926380,Giày Thể Thao Biti's Bé Gái Màu Bạc BSG007100BAC,450000,Biti's,Giày Thể Thao,"kho:online,TRẺ EM,Giày dép,Giày trẻ em,Giày,BÉ GÁI,Giày dép trẻ em",Available,6,https://cdn.hstatic.net/products/1000230642/bsg007100bac__3__29fb22d848924f13b758e3e5e269ac6f.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-be-gai-mau-bac-bsg007100bac
1071913466,Giày Thể Thao Biti's Disney Bé Gái Màu Xanh Dương BSG005397XDG,530000,Biti's,Giày Thể Thao,"kho:online,TRẺ EM,Giày dép,Giày trẻ em,Giày,Disney,BÉ GÁI,Giày dép trẻ em",Available,6,https://cdn.hstatic.net/products/1000230642/bsg005397xdg__4__8ef0659f50c94c7da4b31558665b36dd.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-disney-be-gai-mau-xanh-duong-bsg005397xdg
1071913120,Giày Thể Thao Biti's Disney Bé Gái Màu Hồng BSG005397HOG,530000,Biti's,Giày Thể Thao,"kho:online,TRẺ EM,Giày dép,Giày trẻ em,Giày,Disney,BÉ GÁI,Giày dép trẻ em",Available,6,https://cdn.hstatic.net/products/1000230642/bsg005397hog__4__f3a7c3c92e9b4727a713f60abbbd0fb6.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-disney-be-gai-mau-hong-bsg005397hog
1071911874,Giày Thể Thao Biti's Bé Trai Màu Xanh Dương BSB008900XDG,390000,Biti's,Giày Thể Thao,"kho:online,TRẺ EM,BÉ TRAI,Giày dép,Giày trẻ em,Giày,Giày dép trẻ em",Available,6,https://cdn.hstatic.net/products/1000230642/bsb008900xdg__4__97c702b3a7914e6ebe97d354b3798c89.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-be-trai-mau-xanh-duong-bsb008900xdg
1071910023,Giày Thể Thao Biti's Bé Trai Màu Xám BSB008900XAM,390000,Biti's,Giày Thể Thao,"kho:online,TRẺ EM,BÉ TRAI,Giày dép,Giày trẻ em,Giày,Giày dép trẻ em",Available,6,https://cdn.hstatic.net/products/1000230642/bsb008900xam__5__8e89a3d956d54516a9adc532f57cb3cf.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-be-trai-mau-xam-bsb008900xam
1071909324,Giày Thể Thao Biti's Bé Trai Màu Nâu BSB008900NAU,390000,Biti's,Giày Thể Thao,"kho:online,TRẺ EM,BÉ TRAI,Giày dép,Giày trẻ em,Giày,Giày dép trẻ em",Available,6,https://cdn.hstatic.net/products/1000230642/bsb008900nau__5__73a88d8086e94e04843b92c532a90b8e.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-tre-em-mau-nau-bsb008900nau
1071896681,Dép Biti's Nam Màu Rêu BRM002777REU,475000,Biti's,Dép Thông Dụng,"kho:online,NAM,Dép nam,Dép,Giày dép nam",Available,6,https://cdn.hstatic.net/products/1000230642/brm002777reu__4__201e4319762c41f09f4c6e8d5b7a035d.jpg,https://bitis.com.vn/products/dep-biti-s-nam-mau-reu-brm002777reu
